fold,n_test,n_features,epochs_trained,learning_rate,weight_decay,num_nodes,dropout,batch_norm,batch_size,patience,meth_variance_threshold,train_c_index,val_c_index,test_c_index,stage,config_id
4,111,330,12,0.0001,0.03,[16],0.4,False,32,10,0.0005,0.6067323481116584,0.6,0.6544117647058824,conservative_joint_tuning,31
5,111,315,12,0.0001,0.03,[16],0.4,False,32,10,0.0005,0.5674728356116369,0.5105386416861827,0.3653444676409186,conservative_joint_tuning,31
1,112,326,11,0.0001,0.03,[16],0.5,False,32,10,0.0005,0.3821292775665399,0.3916849015317287,0.6,conservative_joint_tuning,32
2,111,318,12,0.0001,0.03,[16],0.5,False,32,10,0.0005,0.6329092159559835,0.7372093023255814,0.6806167400881057,conservative_joint_tuning,32
3,111,322,12,0.0001,0.03,[16],0.5,False,32,10,0.0005,0.5709310850439883,0.331002331002331,0.6554054054054054,conservative_joint_tuning,32
4,111,330,12,0.0001,0.03,[16],0.5,False,32,10,0.0005,0.6079638752052545,0.6,0.65,conservative_joint_tuning,32
5,111,315,12,0.0001,0.03,[16],0.5,False,32,10,0.0005,0.5643182614791448,0.5128805620608899,0.35908141962421714,conservative_joint_tuning,32
1,112,326,11,0.0001,0.03,[16],0.6,False,32,10,0.0005,0.3821292775665399,0.3916849015317287,0.6,conservative_joint_tuning,33
2,111,318,12,0.0001,0.03,[16],0.6,False,32,10,0.0005,0.6334250343878954,0.7348837209302326,0.6828193832599119,conservative_joint_tuning,33
3,111,322,12,0.0001,0.03,[16],0.6,False,32,10,0.0005,0.5685483870967742,0.32634032634032634,0.6554054054054054,conservative_joint_tuning,33
4,111,330,12,0.0001,0.03,[16],0.6,False,32,10,0.0005,0.6069376026272578,0.6020408163265306,0.6514705882352941,conservative_joint_tuning,33
5,111,315,12,0.0001,0.03,[16],0.6,False,32,10,0.0005,0.5606379249912373,0.5081967213114754,0.35490605427974947,conservative_joint_tuning,33
1,112,326,11,0.0001,0.03,"[8, 4]",0.4,False,32,10,0.0005,0.5819391634980988,0.29540481400437635,0.49747899159663866,conservative_joint_tuning,34
2,111,318,11,0.0001,0.03,"[8, 4]",0.4,False,32,10,0.0005,0.4672455295735901,0.4930232558139535,0.5198237885462555,conservative_joint_tuning,34
3,111,322,12,0.0001,0.03,"[8, 4]",0.4,False,32,10,0.0005,0.593291788856305,0.5058275058275058,0.7128378378378378,conservative_joint_tuning,34
4,111,330,11,0.0001,0.03,"[8, 4]",0.4,False,32,10,0.0005,0.5653735632183908,0.40816326530612246,0.6051470588235294,conservative_joint_tuning,34
5,111,315,12,0.0001,0.03,"[8, 4]",0.4,False,32,10,0.0005,0.5396074307746233,0.36768149882903983,0.5532359081419624,conservative_joint_tuning,34
1,112,326,11,0.0001,0.03,"[8, 4]",0.5,False,32,10,0.0005,0.5819391634980988,0.29540481400437635,0.49747899159663866,conservative_joint_tuning,35
2,111,318,11,0.0001,0.03,"[8, 4]",0.5,False,32,10,0.0005,0.4672455295735901,0.4930232558139535,0.5198237885462555,conservative_joint_tuning,35
3,111,322,12,0.0001,0.03,"[8, 4]",0.5,False,32,10,0.0005,0.5881598240469208,0.5058275058275058,0.7077702702702703,conservative_joint_tuning,35
4,111,330,11,0.0001,0.03,"[8, 4]",0.5,False,32,10,0.0005,0.5653735632183908,0.40816326530612246,0.6051470588235294,conservative_joint_tuning,35
5,111,315,12,0.0001,0.03,"[8, 4]",0.5,False,32,10,0.0005,0.5420609884332281,0.39344262295081966,0.5615866388308977,conservative_joint_tuning,35
1,112,326,11,0.0001,0.03,"[8, 4]",0.6,False,32,10,0.0005,0.5819391634980988,0.29540481400437635,0.49747899159663866,conservative_joint_tuning,36
2,111,318,11,0.0001,0.03,"[8, 4]",0.6,False,32,10,0.0005,0.4672455295735901,0.4930232558139535,0.5198237885462555,conservative_joint_tuning,36
3,111,322,12,0.0001,0.03,"[8, 4]",0.6,False,32,10,0.0005,0.5881598240469208,0.5151515151515151,0.7195945945945946,conservative_joint_tuning,36
